select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5111
1 131125 test 130606 0.589 affine-transformation
1 130606 test 131125 0.4055 decision-tree
1 131125 test 130606 0.4449 decision-tree
1 130606 test 131125 0.4676 random-forest
1 131125 test 130606 0.4561 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5057
1 130606 test 130606 0.7536 validation
1 140416 test 140416 0.7778 validation
1 130606 test 140416 0.3578 no-mapping
1 140416 test 130606 0.1057 no-mapping
1 130606 test 140416 0.694 linear-transformation
1 140416 test 130606 0.6561 linear-transformation
1 130606 test 140416 0.6964 affine-transformation
1 140416 test 130606 0.6573 affine-transformation
1 130606 test 140416 0.5036 decision-tree
1 140416 test 130606 0.4701 decision-tree
1 130606 test 140416 0.4988 random-forest
1 140416 test 130606 0.4879 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4370
1 130606 test 130606 0.7725 validation
1 140600 test 140600 0.7249 validation
1 130606 test 140600 0.2594 no-mapping
1 140600 test 130606 0.259 no-mapping
1 130606 test 140600 0.7286 linear-transformation
1 140600 test 130606 0.6775 linear-transformation
1 130606 test 140600 0.7219 affine-transformation
1 140600 test 130606 0.6775 affine-transformation
1 130606 test 140600 0.4412 decision-tree
1 140600 test 130606 0.4309 decision-tree
1 130606 test 140600 0.4987 random-forest
1 140600 test 130606 0.4545 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5067
1 130606 test 130606 0.7536 validation
1 140829 test 140829 0.7585 validation
1 130606 test 140829 0.4036 no-mapping
1 140829 test 130606 0.0739 no-mapping
1 130606 test 140829 0.6928 linear-transformation
1 140829 test 130606 0.6815 linear-transformation
1 130606 test 140829 0.6904 affine-transformation
1 140829 test 130606 0.6803 affine-transformation
1 130606 test 140829 0.453 decision-tree
1 140829 test 130606 0.4586 decision-tree
1 130606 test 140829 0.4964 random-forest
1 140829 test 130606 0.5045 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4831
1 130606 test 130606 0.7536 validation
1 150416 test 150416 0.7295 validation
1 130606 test 150416 0.3614 no-mapping
1 150416 test 130606 0.0433 no-mapping
1 130606 test 150416 0.6566 linear-transformation
1 150416 test 130606 0.6701 linear-transformation
1 130606 test 150416 0.6554 affine-transformation
1 150416 test 130606 0.6701 affine-transformation
1 130606 test 150416 0.4614 decision-tree
1 150416 test 130606 0.4917 decision-tree
1 130606 test 150416 0.4867 random-forest
1 150416 test 130606 0.493 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5073
1 130606 test 130606 0.7536 validation
1 150602 test 150602 0.7246 validation
